name,followers,popularity
David Guetta,21242602,88
The Chainsmokers,15995277,88
Diplo,2246640,87
Marshmello,23280041,87
Alan Walker,20495926,87
A$AP Rocky,6839766,85
Martin Garrix,13123138,85
DJ Snake,6799590,84
Jonas Blue,2724034,83
Zedd,5125154,82
ILLENIUM,844490,81
Steve Aoki,3398204,81
Sam Feldt,501442,81
Metro Boomin,1824417,81
Armin van Buuren,3420318,80
Alok,7508404,80
Alesso,3360291,79
Galantis,2924045,79
Don Diablo,1597822,77
Loud Luxury,298375,77
Oliver Heldens,854988,77
Afrojack,3383058,77
Timmy Trumpet,619942,76
Lost Frequencies,1757519,76
Louis The Child,350958,74
Matoma,607155,74
Duke Dumont,543531,73
Deorro,1034957,72
Kaskade,770270,72
Bruno Martini,110467,72
Cash Cash,526850,72
Nicky Romero,1894627,72
ZHU,549501,71
Dillon Francis,981660,71
Whethan,172678,71
Dzeko,40104,71
Above & Beyond,581916,70
Seven Lions,338530,70
Gorgon City,298053,69
NGHTMRE,367341,69
RL Grime,325743,69
San Holo,558618,69
Snakehips,313383,69
Cedric Gervais,90465,69
Chris Lake,154515,68
Da Tweekaz,168043,68
Brennan Heart,221014,68
Lost Kings,235731,68
Matisse & Sadko,85723,68
Klingande,401523,68
Eric Prydz,381892,67
Excision,514627,67
Vini Vici,329878,67
Claptone,291971,67
Benny Benassi,415643,67
The Glitch Mob,484942,66
Medasin,73407,66
Tchami,291961,66
Zeds Dead,437123,66
Frank Walker,30353,66
Fedde Le Grand,288519,66
Nora En Pure,197869,66
DubVision,229245,66
Said the Sky,166086,66
TroyBoi,250942,66
Gareth Emery,220700,65
Tritonal,190323,65
Jai Wolf,196556,65
Coone,139182,65
Headhunterz,386863,65
Flux Pavilion,625582,65
Hook N Sling,23408,65
Eli Brown,20710,64
Sub Focus,221562,64
Wilkinson,139056,64
Dom Dolla,71611,64
Kasbo,93805,64
Big Gigantic,201168,64
GRiZ,283580,64
3LAU,289832,64
Borgeous,517942,64
Alison Wonderland,364825,63
Solardo,68867,63
Darren Styles,65034,63
Infected Mushroom,494834,63
Kayzo,125404,63
Rezz,238161,63
Valentino Khan,166822,63
Ekali,108345,63
What So Not,256428,63
Getter,253977,63
Jauz,330004,63
Dabin,80550,63
Chris Lorenzo,43569,62
Idris Elba,56321,62
Sub Zero Project,69530,62
Angerfist,266882,61
Dr Phunk,20681,61
Malaa,148533,61
Andrew Rayel,114287,61
Dombresky,52707,61
Young Bombs,11800,61
Borgore,519149,61
Zomboy,684442,61
Bingo Players,404049,61
Low Steppa,46616,61
Morgan Page,115739,61
Nitti Gritti,42317,60
Paul van Dyk,305544,60
Boombox Cartel,163832,60
Warface,46573,60
Tinlicker,33438,60
Joris Voorn,97151,60
Sound Rush,32061,60
SNBRN,71998,60
i_o,42706,59
Yolanda Be Cool,30342,59
Atmozfears,66216,59
Cosmic Gate,168686,59
Golden Features,75042,59
Kölsch,154004,59
Wax Motif,37334,59
Subtronics,74945,59
Flosstradamus,263525,59
Elephante,84921,58
Metrik,58673,58
Green Velvet,143482,58
Alan Fitzpatrick,96625,58
Dion Timmer,67764,58
DNMO,18447,58
Virtual Riot,232672,58
Adventure Club,248652,58
Tom Morello,71310,58
Justin Mylo,52647,58
Noisecontrollers,122143,58
Jason Ross,27810,58
